"tstamp","name","laps","position","speed"
2018-10-23 23:28:35,"Apolloon",157,0.872267480789486,6.59540990371323
2018-10-23 23:28:35,"VTK",156,0.878966265152326,6.18921572331387
2018-10-23 23:28:35,"Viva Ekonomika",150,0.983916064313926,6.31277647037737
2018-10-23 23:28:35,"LBK",149,0.538755104273037,5.78753479092831
2018-10-23 23:28:35,"Medica",147,0.809481271909326,6.05018357568134
2018-10-23 23:28:35,"Industria",143,0.43877046875715,5.32726447474981
2018-10-23 23:28:35,"Wina",135,0.330827474767165,5.40194843719249
2018-10-23 23:28:35,"Atmosphere",134,0.774957815958378,5.71746407530474
2018-10-23 23:28:35,"Lerkeveld",132,0.56088592693904,5.12056628736341
2018-10-23 23:28:35,"VRG Crimen",131,0.356219482564473,4.5996196233609
2018-10-23 23:28:35,"Tripel Hop",128,0.405638883033448,5.34422289622806
2018-10-23 23:28:35,"UCLL OKeR",125,0.844025095790493,6.050737971583
2018-10-23 23:28:35,"Pedal",124,0.0193449427647153,5.03418166944334
2018-10-23 23:28:35,"Runner's High",119,0.930303014366786,4.36992425972328
2018-10-23 23:28:35,"Psychokring",118,0.0761697853845164,4.76639604775528
2018-10-23 23:28:35,"Politika",113,0.205480888995653,4.71412410160199
2018-10-23 23:28:35,"Farmaceutica",113,0.201428404258302,4.62362400575083
2018-10-23 23:28:35,"Run for Specials",68,0.538147114054943,3.21692550699058
2018-10-23 23:29:05,"Apolloon",158,0.301939833356822,6.84808739572024
2018-10-23 23:29:05,"VTK",157,0.29187167352158,6.53983049195469
2018-10-23 23:29:05,"Viva Ekonomika",151,0.327428358341467,6.10875846043141
2018-10-23 23:29:05,"LBK",149,0.856907041706458,5.68804728363178
2018-10-23 23:29:05,"Medica",148,0.182500589741731,6.1582888033673
2018-10-23 23:29:05,"Industria",143,0.763517339075501,5.43800853914265
2018-10-23 23:29:05,"Wina",135,0.634818478898447,5.33945266632741
2018-10-23 23:29:05,"Atmosphere",135,0.0995067845150645,5.69020586556276
2018-10-23 23:29:05,"Lerkeveld",132,0.857013743903204,5.12056628736341
2018-10-23 23:29:05,"VRG Crimen",131,0.653084575369364,4.81577736635175
2018-10-23 23:29:05,"Tripel Hop",128,0.722518653782452,5.39788229363814
2018-10-23 23:29:05,"UCLL OKeR",126,0.229233277544855,6.21310130706806
2018-10-23 23:29:05,"Pedal",124,0.329011530174797,5.16359576096164
2018-10-23 23:29:05,"Runner's High",120,0.155907689186506,4.28432100373782
2018-10-23 23:29:05,"Psychokring",118,0.380684859636876,4.94977458222174
2018-10-23 23:29:05,"Farmaceutica",113,0.447429000258952,4.51754957778802
2018-10-23 23:29:05,"Politika",113,0.385268879026957,4.29349704672606
2018-10-23 23:29:05,"Run for Specials",68,0.702730850915907,3.13300364907503
2018-10-23 23:29:35,"Apolloon",158,0.683613355259541,6.66443638836493
2018-10-23 23:29:35,"VTK",157,0.644310071447955,6.27010447977231
2018-10-23 23:29:35,"Viva Ekonomika",151,0.653755234842571,5.85458864312109
2018-10-23 23:29:35,"LBK",150,0.210876049769183,5.76929269183645
2018-10-23 23:29:35,"Medica",148,0.547442591988879,6.17287862603624
2018-10-23 23:29:35,"Industria",144,0.0550178800699251,5.31698409382838
2018-10-23 23:29:35,"Wina",135,0.949224114056464,5.33945266632741
2018-10-23 23:29:35,"Atmosphere",135,0.423604817189057,5.61976260326222
2018-10-23 23:29:35,"Lerkeveld",133,0.180253748875947,5.2064318940613
2018-10-23 23:29:35,"VRG Crimen",132,0.000835623417825137,5.12316738309459
2018-10-23 23:29:35,"Tripel Hop",129,0.034794774988433,5.37310618262159
2018-10-23 23:29:35,"UCLL OKeR",126,0.575763582738222,6.04275347098684
2018-10-23 23:29:35,"Pedal",124,0.662753237281183,5.39257742720841
2018-10-23 23:29:35,"Runner's High",120,0.363451698678384,4.07292121158718
2018-10-23 23:29:35,"Psychokring",118,0.665433576786025,4.90567333657993
2018-10-23 23:29:35,"Farmaceutica",113,0.714632493927304,4.52442417801691
2018-10-23 23:29:35,"Politika",113,0.648667548159252,4.35862942233153
2018-10-23 23:29:35,"Run for Specials",68,0.887213056077461,3.13300364907503
2018-10-23 23:30:05,"Apolloon",159,0.0443920192830153,6.52637451634396
2018-10-23 23:30:05,"VTK",158,0.0340063000244687,6.41041160783359
2018-10-23 23:30:05,"Viva Ekonomika",152,0.0322560068923493,6.05829451114511
2018-10-23 23:30:05,"LBK",150,0.612769555970455,6.28797789009517
2018-10-23 23:30:05,"Medica",148,0.868309251605335,5.94356949072276
2018-10-23 23:30:05,"Industria",144,0.355576342154003,5.26244299480639
2018-10-23 23:30:05,"Wina",136,0.246171048298188,5.2903559453166
2018-10-23 23:30:05,"Atmosphere",135,0.70768712362498,5.34689311259725
2018-10-23 23:30:05,"Lerkeveld",133,0.510745258309555,5.37079768266754
2018-10-23 23:30:05,"VRG Crimen",132,0.301653066786981,5.14550903393782
2018-10-23 23:30:05,"Tripel Hop",129,0.330037810546558,5.26066186287596
2018-10-23 23:30:05,"UCLL OKeR",126,0.926818225647844,6.04275347098684
2018-10-23 23:30:05,"Pedal",124,0.976035808241665,5.39257742720841
2018-10-23 23:30:05,"Runner's High",120,0.571795900510978,3.91140565638755
2018-10-23 23:30:05,"Psychokring",118,0.950429383693084,4.90567333657993
2018-10-23 23:30:05,"Farmaceutica",113,0.977479575445921,4.52442417801691
2018-10-23 23:30:05,"Politika",113,0.90188275920146,4.35862942233153
2018-10-23 23:30:05,"Run for Specials",69,0.0219747130244104,3.01947097320474
2018-10-23 23:30:36,"Apolloon",159,0.416962874618294,6.44522903508777
2018-10-23 23:30:36,"VTK",158,0.392340256227855,6.27549511239844
2018-10-23 23:30:36,"Viva Ekonomika",152,0.388481057480825,6.060002977805
2018-10-23 23:30:36,"LBK",150,0.98225846259193,6.28797789009517
2018-10-23 23:30:36,"Medica",149,0.196214905172877,5.85359880461284
2018-10-23 23:30:36,"Industria",144,0.700282422255408,5.53050803703571
2018-10-23 23:30:36,"Wina",136,0.562023281009646,5.29398450145448
2018-10-23 23:30:36,"Atmosphere",136,0.12551827957735,5.87546936760002
2018-10-23 23:30:36,"Lerkeveld",133,0.799754499331654,5.21681469511766
2018-10-23 23:30:36,"VRG Crimen",132,0.652419849476658,5.54914687777284
2018-10-23 23:30:36,"Tripel Hop",129,0.635353157070831,5.23272285170672
2018-10-23 23:30:36,"UCLL OKeR",127,0.291844888653734,6.00235313346009
2018-10-23 23:30:36,"Pedal",125,0.31000350580434,5.45668895649857
2018-10-23 23:30:36,"Runner's High",120,0.801634653857774,3.91140565638755
2018-10-23 23:30:36,"Psychokring",119,0.264490316840518,4.99789070128667
2018-10-23 23:30:36,"Farmaceutica",114,0.169271530662292,4.30195609411173
2018-10-23 23:30:36,"Politika",114,0.0970588418113232,4.16995941710448
2018-10-23 23:30:36,"Run for Specials",69,0.199402345240181,3.01947097320474
2018-10-23 23:31:05,"Apolloon",159,0.760530013106249,6.24153195044767
2018-10-23 23:31:05,"VTK",158,0.739535510929568,6.1654506772701
2018-10-23 23:31:05,"Viva Ekonomika",152,0.743712060318528,6.10270134267708
2018-10-23 23:31:05,"LBK",151,0.333214269492144,6.17119359853013
2018-10-23 23:31:05,"Medica",149,0.532634506185856,5.84615391458005
2018-10-23 23:31:05,"Industria",145,0.103879979723575,5.96811574717105
2018-10-23 23:31:05,"Wina",136,0.867398810300342,5.29398450145448
2018-10-23 23:31:05,"Atmosphere",136,0.523507531197576,6.29076834622373
2018-10-23 23:31:05,"Lerkeveld",134,0.0872795428575406,5.1623940015658
2018-10-23 23:31:05,"VRG Crimen",132,0.972514036463062,5.54914687777284
2018-10-23 23:31:05,"Tripel Hop",129,0.937194900285689,5.23272285170672
2018-10-23 23:31:05,"UCLL OKeR",127,0.638081596490043,6.00235313346009
2018-10-23 23:31:05,"Pedal",125,0.584155791148151,5.22235902208931
2018-10-23 23:31:05,"Runner's High",121,0.0988783642104934,4.16747340767691
2018-10-23 23:31:05,"Psychokring",119,0.567916811863021,5.06878135425054
2018-10-23 23:31:05,"Farmaceutica",114,0.379376107433949,4.12121472422885
2018-10-23 23:31:05,"Politika",114,0.337596675605348,4.16995941710448
2018-10-23 23:31:05,"Run for Specials",69,0.395285383107229,3.10328287668557
2018-10-23 23:31:35,"Apolloon",160,0.210928923744854,6.70049319816183
2018-10-23 23:31:35,"VTK",159,0.194317817713853,6.68137776222687
2018-10-23 23:31:35,"Viva Ekonomika",153,0.151031075207064,6.36714175930238
2018-10-23 23:31:35,"LBK",151,0.656431404489774,5.89531394897951
2018-10-23 23:31:35,"Medica",149,0.840699857815948,5.65214251172624
2018-10-23 23:31:35,"Industria",145,0.461296007279056,6.03455611251561
2018-10-23 23:31:35,"Wina",137,0.14826191967287,5.18821014007802
2018-10-23 23:31:35,"Atmosphere",136,0.88596215337446,6.26474888501285
2018-10-23 23:31:35,"Lerkeveld",134,0.389256163263178,5.17026166176999
2018-10-23 23:31:35,"VRG Crimen",133,0.324387452482185,5.68840881237919
2018-10-23 23:31:35,"Tripel Hop",130,0.228725005498566,5.1838831946381
2018-10-23 23:31:35,"UCLL OKeR",127,0.834147640430991,5.25070598220035
2018-10-23 23:31:35,"Pedal",125,0.888370879813548,5.22235902208931
2018-10-23 23:31:35,"Runner's High",121,0.403626687457359,4.53686742771774
2018-10-23 23:31:35,"Psychokring",119,0.863185628615479,5.06878135425054
2018-10-23 23:31:35,"Farmaceutica",114,0.672320711788657,4.46762190826855
2018-10-23 23:31:35,"Politika",114,0.578545313203694,4.6393443096629
2018-10-23 23:31:35,"Run for Specials",69,0.583987933652047,3.14185504828647
2018-10-23 23:32:05,"Apolloon",160,0.60261866494416,6.63325435283216
